,Venue,Address,Day,Time,Host,lat,lng
0,Wunder Garten,"1101 First Street NE
Washington, DC 20002",Wednesday,7:00PM,District Trivia,38.90372989999999,-77.0057037
1,Penn Social,"801 E St NW
Washington, DC 20004",Tuesday,7:00PM,District Trivia,38.896305,-77.02328899999999
2,Bonchon (Navy Yard),"1015 Half St SE
Washington, DC 20003",Tuesday,7:30PM,District Trivia,38.8779486,-77.0079481
3,Irish Channel (Chinatown),"500 H St NW
Washington, DC 20001",Wednesday,7:00PM,District Trivia,38.8994679,-77.0191578
4,Boundary Stone,"116 Rhode Island Ave NW
Washington, DC 20001",Tuesday,7:30PM,District Trivia,38.9153122,-77.0127657
5,Maddy's Tap Room,"100 13th Street NW
Washington, DC 20005",Tuesday,7:30PM,District Trivia,38.9042643,-77.02987379999999
6,Franklin Hall,"1348 Florida Avenue NW
Washington, DC 20009",Monday,7:00PM,District Trivia,38.920043,-77.031249
7,Lost & Found,"1240 9th Street NW
Washington, DC 20001",Monday,8:00PM,District Trivia,38.9067768,-77.0241781
8,Lou's City Bar,"1400 Irving Street Northwest
Washington, DC 20010",Tuesday,7:30PM,District Trivia,38.928486,-77.032961
9,Arcuri,"2400 Wisconsin Ave NW
Washington, DC 20007",Thursday,8:00PM,District Trivia,38.92117,-77.0725008
10,HalfSmoke,"651 Florida Avenue NW
Washington, DC 20001",Tuesday,7:30PM,District Trivia,38.91633909999999,-77.021677
11,Froggy Bottom Pub,"2021 K Street NW
Washington, DC 20006",Tuesday,7:30PM,District Trivia,38.90295680000001,-77.0457423
12,Radiator,"1430 Rhode Island Ave NW
Washington, DC 20005",Monday,8:00PM,District Trivia,38.9080559,-77.032923
13,Bier Baron (Wednesday),"1523 22nd St NW
Washington, DC 20037",Wednesday,7:30PM,District Trivia,38.9102797,-77.0484822
14,Free State,"501B G Street
Washington, DC 20003",Sunday,7:00PM,District Trivia,38.8984549,-77.0192557
15,Bier Baron (Monday),"1523 22nd St NW
Washington, DC 20037",Monday,7:30PM,District Trivia,38.9102797,-77.0484822
16,Hawk 'n Dove,"329 Pennsylvania Ave SE
Washington, DC 20003",Tuesday,8:00PM,District Trivia,38.8863627,-77.0012272
17,The Big Stick,"20 M St SE
Washington, DC 20003",Wednesday,8:00PM,District Trivia,38.8767078,-77.0079554
18,Buffalo Billiards,"1330 19th St NW
Washington, DC 20036",Wednesday,7:30PM,District Trivia,38.9084419,-77.0438535
19,Crown & Crow,"1313 14th St NW
Washington, DC 20005",Wednesday,7:30PM,District Trivia,38.9077362,-77.031686
20,Crimson,"627 H Street NW
Washington, DC 20001",Tuesday,7:00PM,District Trivia,38.9000778,-77.02122720000001
21,Moreland's Tavern,"5501 14th St. NW
Washington, DC 20011",Tuesday,7:00PM,District Trivia,38.9567189,-77.0331705
22,Iron Horse Tap Room,"507 7th Street NW
Washington, DC 20004",Thursday,8:00PM,District Trivia,38.8964294,-77.0217498
23,Sign of the Whale,"1825 M Street NW
Washington, DC 20036",Thursday,7:00PM,District Trivia,38.9059225,-77.0427625
24,City Tap House (Dupont),"1250 Connecticut Avenue NW
Washington, DC 20036",Sunday,7:30PM,District Trivia,38.90701139999999,-77.0422057
25,Roofers Union,"2446 18th St NW
Washington , DC 20009",Thursday,7:30PM,District Trivia,38.9218591,-77.04265
26,Finn McCool's,"713 8th St SE
Washington, DC 20003",Wednesday,8:00PM,District Trivia,38.8807686,-76.9953797
27,Exiles Bar,"1610 U Street NW
Washington, DC 20009",Tuesday,8:00PM,District Trivia,38.9167949,-77.0373087
28,D.C. Reynolds,"3628 Georgia Ave NW
Washington, DC 20010",Sunday,7:00PM,District Trivia,38.9348639,-77.0243649
29,Willies Brew & Que,"300 Tingey St SE
Washington, DC 20003",Thursday,7:00PM,District Trivia,38.8751743,-77.0014765
30,Agua 301,"301 water Street SE
Washington, DC 20003",Monday,8:00PM,District Trivia,38.873408,-77.0014765
31,Bar Elena DC,"414 H Street NE
Washington, DC 20002",Sunday,7:00PM,District Trivia,38.9004602,-76.9998792
32,Homestead,"3911 Georgia Ave NW
Washington, DC 20011",Wednesday,8:00PM,District Trivia,38.9391356,-77.0245449
33,Meridian Pint,"3400 11st Street NW
Washington, DC 20010",Wednesday,8:00PM,District Trivia,38.9320096,-77.0284922
34,Provision No. 14,"2100 14th Street NW
Washington, DC 20009",Wednesday,8:00PM,District Trivia,38.9182442,-77.03236079999999
35,Ri Ra Georgetown,"3125 M Street NW
Georgetown, DC 20007",Tuesday,7:30PM,District Trivia,38.9054756,-77.0619104
36,Church Hall,"3222 M Street, NW 
Washington, DC 20007",Monday,7:00PM,District Trivia,38.904999,-77.06371399999999
37,St. Arnold's (Cleveland Park),"3433 Connecticut Ave NW
Washington, DC 20008",Wednesday,7:30PM,District Trivia,38.9353506,-77.05802039999999
38,Smoke & Barrel,"2471 18th Street, N.W. 
Washington, DC 20009",Wednesday,7:00PM,District Trivia,38.9222749,-77.0423711
39,Caddies on Cordell,"4922 Cordell Avenue
Bethesda, MD 20814",Tuesday,7:30PM,District Trivia,38.988649,-77.098489
40,Kusshi Sushi,"11826 Trade Street
North Bethesda, MD 20852",Tuesday,7:00PM,District Trivia,39.0498345,-77.1163657
41,World of Beer (RVILL MON),"196B East Montgomery Ave
Rockville, MD 20850",Monday,7:00PM,District Trivia,39.0842215,-77.15029229999999
42,Pizzeria Paradiso (MD),"4800 Rhode Island Avenue
Hyattsville, MD 20781",Tuesday,7:00PM,District Trivia,38.9485296,-76.9438259
43,The Board and Brew,"8150 Baltimore Ave
College Park, MD 20740",Thursday,7:30PM,District Trivia,38.9913976,-76.93414729999999
44,MilkBoy ArtHouse,"7416 Baltimore Ave
College Park, MD 20740",Tuesday,7:30PM,District Trivia,38.9814534,-76.9381739
45,Lahinch Tavern & Grill,"7747 Tuckerman Lane
Potomac, MD 20854",Monday,7:00PM,District Trivia,39.0406269,-77.15536929999999
46,Looney's Pub (Monday),"8150 Baltimore Avenue
College Park, MD 20740",Monday,7:00PM,District Trivia,38.9913976,-76.93414729999999
47,Union Jack's,"9811 Washingtonian Blvd
Gaithersburg, MD 20878",Tuesday,7:00PM,District Trivia,39.115761,-77.1976636
48,The Brass Tap,"164 Fleet Street 
National Harbor, MD ",Wednesday,7:30PM,District Trivia,38.7832637,-77.0152169
49,Brickside,"4866 Cordell Ave
Bethesda, MD 20814",Wednesday,7:30PM,District Trivia,38.9895278,-77.0975674
50,World of Beer (BETH TUE),"7200 Wisconsin Avenue
Bethesda, MD 20814",Tuesday,7:00PM,District Trivia,38.9815089,-77.0941167
51,True Respite Brewing Co.,"7301 Calhoun PI #600
Derwood, MD 20855",Thursday,7:00PM,District Trivia,39.10811169999999,-77.1471682
52,World of Beer (RVILLE WED),"196 E Montgomery Ave Ste B
Rockville, MD 20805",Wednesday,7:00PM,District Trivia,39.0842215,-77.15029229999999
53,Looney's Pub (Wednesday),"8150 Baltimore Ave
College Park, MD 20740",Wednesday,7:00PM,District Trivia,38.9913976,-76.93414729999999
54,World of Beer (BETH SUN),"7200 Wisconsin Ave.
Bethesda, MD 20814",Sunday,7:00PM,District Trivia,38.9815089,-77.0941167
55,Hanaro Sushi,"7820 Norfolk Ave
 Bethesda, MD 20814",Monday,7:30PM,District Trivia,38.9886808,-77.09716279999999
56,World of Beer (Ashburn),"44699 Bbrimfield Dr
Ashburn, VA 20147",Tuesday,8:00PM,District Trivia,39.050274,-77.4539776
57,William Jeffrey's Tavern,"2301 Columbia Pike Suite 101
Arlington, VA 22204",Wednesday,7:30PM,District Trivia,38.8638847,-77.0828428
58,Mister Days (Thursday),"3100 Clarendon Blvd
Arlington, VA 22201",Thursday,7:00PM,District Trivia,38.8863497,-77.0952071
59,Ornery Beer Company,"3950 University Drive #209
Fairfax, VA 22030",Monday,7:00PM,District Trivia,38.8471237,-77.3050684
60,South Riding Inn,"43090 Peacock Market Plaza
South Riding, VA 20152",Tuesday,7:30PM,District Trivia,38.9160091,-77.5126741
61,Sully's Pour House,"754 Elden Street Ste 102 
Herndon, VA 20170",Wednesday,7:15PM,District Trivia,38.9698553,-77.38646899999999
62,ATR (Reston),"1811 Library Street
Reston, VA 20190",Thursday,7:00PM,District Trivia,38.958308,-77.358449
63,Auld Shebeen,"3971 Chain Bridge Road
Fairfax, VA 22030",Tuesday,7:30PM,District Trivia,38.846917,-77.3061164
64,Rhodeside Grill,"1836 Wilson Blvd
Arlington, VA 22201",Tuesday,7:30PM,District Trivia,38.8929615,-77.0802674
65,Austin Grill,"8430 Old Keene Mill Rd
Springfield, VA 20147",Monday,7:00PM,District Trivia,38.7797366,-77.2365451
66,Courthaus Social,"2300 Clarendon Blvd
Arlington, VA 22201",Wednesday,7:00PM,District Trivia,38.8900858,-77.0866788
67,Mister Days (Tuesday),"3100 Clarendon Blvd
Arlington, VA 22201",Tuesday,7:00PM,District Trivia,38.8863497,-77.0952071
68,Mad Fox (Falls Church),"444 W. Broad Street
Falls Church, VA 22046",Tuesday,7:30PM,District Trivia,38.88673350000001,-77.17649720000001
69,Ragtime,"1345 N Courthouse Rd
Arlington, VA 22201",Monday,7:30PM,District Trivia,38.8894282,-77.0834533
70,Blue Iguana,"12727 Shoppes Lane
 Fairfax, VA 22033",Thursday,7:00PM,District Trivia,38.8604569,-77.38655419999999
71,Crafthouse (ARL TUE),"901 N Glebe Rd
Arlington, VA 22203",Tuesday,7:30PM,District Trivia,38.8815164,-77.1151671
72,Rustico (Ballston),"4075 Wilson Boulevard
Arlington, VA 22203",Sunday,7:00PM,District Trivia,38.8803079,-77.1085112
73,O'Sullivan's (Clarendon),"3207 Washington Blvd
Arlington, VA 22201",Wednesday,7:00PM,District Trivia,38.8862095,-77.0972505
74,Crafthouse (ARL MON),"901 N Glebe Rd
Arlington, VA 22203",Monday,7:30PM,District Trivia,38.8815164,-77.1151671
75,Hen Quarter (Alexandria),"801 King Street
Alexandria, VA 22314",Thursday,7:30PM,District Trivia,38.8054597,-77.0481935
76,Falls Church Distillers,"442 S Washington St Suite A
Falls Church, VA 22046",Thursday,7:30PM,District Trivia,38.8800242,-77.1763302
77,Highline RxR,"2010 Crystal Dr
Arlington, VA 22202",Monday,7:00PM,District Trivia,38.855704,-77.049606
78,Crafthouse Fairfax,"11861 Palace Way
Fairfax, VA 22030",Tuesday,8:00PM,District Trivia,38.8587305,-77.3554903
79,Crafthouse Reston,"1888 Explorer St
Reston, VA 20190",Tuesday,8:00PM,District Trivia,38.9577719,-77.36071299999999
80,Spanky's Shenanigans,"538 E Market St
Leesburg, VA 20716",Wednesday,7:00PM,District Trivia,39.109334,-77.550771
81,Siné Irish Pub,"1301 S Joyce St
Arlington, VA 22202",Sunday,7:00PM,District Trivia,38.8625037,-77.0631691
82,World of Beer (C'ville),"852 W Main St
Charlottesville, VA 22903",Tuesday,7:00PM,District Trivia,38.03195789999999,-78.4927608
